"family","package_id","name","format","precision","upstream_status","installed_loader","family_in_studio","exact_studio_package_id","download_kind","source"
"ace_step","ace_step_turbo_q8_0","ACE-Step 1.5 Turbo Q8_0 GGUF","gguf","q8_0","supported","true","true","true","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_turbo_bf16","ACE-Step 1.5 Turbo BF16 GGUF","gguf","bf16","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_base_q8_0","ACE-Step 1.5 Base Q8_0 GGUF","gguf","q8_0","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_base_bf16","ACE-Step 1.5 Base BF16 GGUF","gguf","bf16","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_xl_turbo_bf16","ACE-Step 1.5 XL Turbo BF16 GGUF","gguf","bf16","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_xl_sft_bf16","ACE-Step 1.5 XL SFT BF16 GGUF","gguf","bf16","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_xl_turbo_q8dit","ACE-Step 1.5 XL Turbo Q8_0 DiT GGUF (BF16 planner)","gguf","q8_0","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"ace_step","ace_step_xl_sft_q8dit","ACE-Step 1.5 XL SFT Q8_0 DiT GGUF (BF16 planner)","gguf","q8_0","supported","true","true","false","huggingface_snapshot","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/ace_step.json"
"audio8_asr","audio8_asr_0_1b_q8_0","Audio8-ASR-0.1B Q8_0 GGUF","gguf","q8_0","community","true","false","false","unsupported","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/audio8_asr.json"
"audio8_asr","audio8_asr_0_1b_f16","Audio8-ASR-0.1B F16 GGUF","gguf","f16","community","true","false","false","unsupported","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/audio8_asr.json"
