"id","family","raw_family","engine","capabilities","configured","path_exists","package_id","explicit_install_allowlist","exact_loader_name_match"
"qwen3-tts-0.6b-base","qwen3_tts","qwen3-tts","audio","speech; voice_clone","true","true","","false","false"
"dramabox-q8-0","dramabox","dramabox","dramabox","speech; voice_clone","true","true","dramabox_q8_0","true","true"
"qwen3-tts-1.7b-voicedesign","qwen3_tts","qwen3-tts-voicedesign","voicedesign","voice_design","true","true","","false","false"
"omnivoice","omnivoice","omnivoice","omnivoice","speech; voice_clone; voice_design","true","true","","false","true"
"sortformer-diar-4spk-v1-q8-0","sortformer_diar","sortformer_diar","diarize","diarization","true","true","","false","true"
"voxcpm2","voxcpm2","voxcpm2","voxcpm2","speech; voice_design","true","true","","false","true"
"chatterbox-q8-0","chatterbox","chatterbox","voiceconvert","voice_conversion","true","true","chatterbox_q8_0","true","true"
"ace-step-turbo-q8-0","ace_step","ace_step","music","music; music_edit","true","true","ace_step_turbo_q8_0","true","true"
"qwen3-tts-1.7b-base-q8-0","qwen3_tts","qwen3_tts","qwen3-tts-1.7b-base","speech; voice_clone","true","true","qwen3_tts_1_7b_base_q8_0","false","true"
"qwen3-tts-1.7b-customvoice-q8-0","qwen3_tts","qwen3_tts","qwen3-tts-1.7b-customvoice","speech","true","true","qwen3_tts_1_7b_customvoice_q8_0","false","true"
"vibevoice-1.5b-q8-0","vibevoice","vibevoice","vibevoice","speech; dialogue","true","true","vibevoice_1_5b_q8_0","false","true"
"fish-audio-s2-pro-q8-0","fish_audio","fish_audio","fish-audio","speech; voice_clone","true","true","fish_audio_s2_pro_q8_0","false","true"
"chatterbox-clone-q8-0","chatterbox","chatterbox","chatterbox-clone","speech; voice_clone","true","true","chatterbox_q8_0","true","true"
"qwen3-asr-0.6b-q8-0","qwen3_asr","qwen3_asr","qwen3-asr-0.6b","transcription","true","true","qwen3_asr_0_6b_q8_0","false","true"
"qwen3-asr-1.7b-hf","qwen3_asr","qwen3_asr","qwen3-asr-1.7b","transcription","true","true","qwen3_asr_1_7b_safetensors","false","true"
"vibevoice-asr-q8-0","vibevoice_asr","vibevoice_asr","vibevoice-asr","transcription","true","true","vibevoice_asr_q8_0","false","true"
"stable-audio-3-medium-q8-0","stable_audio","stable_audio","stable-audio-medium","music; sfx","true","true","stable_audio_3_medium_q8_0","false","true"
"stable-audio-3-small-sfx-q8-0","stable_audio","stable_audio","stable-audio-sfx","sfx","true","true","stable_audio_3_small_sfx_q8_0","false","true"
"heartmula-3b-q8-0","heartmula","heartmula","heartmula","music","true","true","heartmula_q8_0","false","true"
"vevo2-q8-0","vevo2","vevo2","vevo2","voice_conversion; singing_voice_conversion; speech_editing","true","true","vevo2_q8_0","false","true"
"htdemucs-q8-0","htdemucs","htdemucs","htdemucs","separation","true","true","htdemucs_q8_0","false","true"
"bs-roformer-q8-0","bs_roformer","bs_roformer","bs-roformer","separation","true","true","bs_roformer_q8_0","false","true"
"mel-band-roformer-q8-0","mel_band_roformer","mel_band_roformer","mel-band-roformer","separation","true","true","mel_band_roformer_q8_0","false","true"
"silero-vad-audiocpp","silero_vad","silero_vad","silero-vad","vad","true","true","","false","true"
"marblenet-vad-audiocpp","marblenet_vad","marblenet_vad","marblenet-vad","vad","true","true","","false","true"
"qwen3-forced-aligner-0.6b-q8-0","qwen3_forced_aligner","qwen3_forced_aligner","forced-aligner","forced_alignment","true","true","qwen3_forced_aligner_0_6b_q8_0","false","true"
